product name,url,image url,price,mrp,discount,brand
Galaxis Pro Men's Performance Boost Running Shoes For Men,https://fkrt.cc/h927gxa,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/r/9/f/-original-imahgcs82pzevhqe.jpeg?q=70,3149,6999,55%,Flipkart BBD Sale
GT-1000 13 Running Shoes For Men,https://fkrt.cc/hSIbeC3,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/b/j/s/-original-imahf7encu2ymxgy.jpeg?q=70,4000,9999,59%,Flipkart BBD Sale
Jaysaw Reflective Running Shoes For Men,https://fkrt.cc/hdPQNzE,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/0/q/a/-original-imahgcsvcbvhfnsf.jpeg?q=70,1161,4299,72%,Flipkart BBD Sale
GlideEase M Running Shoes For Men,https://fkrt.cc/hkzBfke,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/k/t/s/-original-imahgbrymzc2aadw.jpeg?q=70,1200,2999,59%,Flipkart BBD Sale
GEL-CUMULUS 26 Running Shoes For Men,https://fkrt.cc/h15D0If,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/g/w/c/-original-imahddxb7zvwmmqq.jpeg?q=70,5400,11999,54%,Flipkart BBD Sale
Trabuco Terra 2 Running Shoes For Men,https://fkrt.cc/hVewIMK,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/x/i/5/-original-imahg3tzprvfzssu.jpeg?q=70,3690,8999,58%,Flipkart BBD Sale
Fluo M Running Shoes For Men,https://fkrt.cc/hbQS1BM,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/1/v/y/-original-imah6gzeqkk3qeuj.jpeg?q=70,1357,3999,66%,Flipkart BBD Sale
GEL-NIMBUS 26 Running Shoes For Men,https://fkrt.cc/h5dJQz0,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/s/n/z/-original-imahfvvrehsdd2rg.jpeg?q=70,7520,15999,52%,Flipkart BBD Sale
ONYXD Running Shoes For Men,https://fkrt.cc/hxRwVkE,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/z/o/m/-original-imahfutezs4zapre.jpeg?q=70,1360,3999,65%,Flipkart BBD Sale
Runesy M Running Shoes For Men,https://fkrt.cc/h9haano,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/8/g/0/-original-imah4aenemjggzyr.jpeg?q=70,1586,4299,63%,Flipkart BBD Sale
PUMA Flex Addict Running Shoes For Men,https://fkrt.cc/hpezsqk,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/l/n/h/-original-imahgbrw4hkyqgyy.jpeg?q=70,1462,4299,65%,Flipkart BBD Sale
Running Shoes For Men,https://fkrt.cc/hmYBLqq,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/h/b/v/-original-imah4ehceuejspvy.jpeg?q=70,1669,4395,62%,Flipkart BBD Sale
Stunicon M Running Shoes For Men,https://fkrt.cc/hYw23Sm,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/i/f/2/-original-imahgcsuz3qsaqvj.jpeg?q=70,1728,4799,63%,Flipkart BBD Sale
GT-2000 13 Running Shoes For Men,https://fkrt.cc/hKpZU4i,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/b/s/3/-original-imahddxbfyvmprvd.jpeg?q=70,5200,12999,59%,Flipkart BBD Sale
GT-2000 13 Running Shoes For Men,https://fkrt.cc/hoioAV0,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/v/z/p/-original-imahddygkwstpy4n.jpeg?q=70,5200,12999,59%,Flipkart BBD Sale
Running Shoes For Men,https://fkrt.cc/hexKCgv,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/f/0/f/-original-imahbxfw6mehyymr.jpeg?q=70,2407,4499,46%,Flipkart BBD Sale
ComfortCush Lite Running Shoes For Men,https://fkrt.cc/hbqsAhA,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/b/s/q/-original-imahg2t2fxzfdgzp.jpeg?q=70,2795,6499,56%,Flipkart BBD Sale
Jauntza M Running Shoes For Men,https://fkrt.cc/hCDSmRe,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/u/m/d/-original-imahgcsv34h6mhta.jpeg?q=70,1107,3599,69%,Flipkart BBD Sale
GT-1000 13 Running Shoes For Men,https://fkrt.cc/hiJPi2n,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/b/j/s/-original-imahf7encu2ymxgy.jpeg?q=70,4000,9999,59%,Flipkart BBD Sale
