product name,url,image url,price,mrp,discount,brand
GT-2000 13 Running Shoes For Men,https://fkrt.cc/hoioAV0,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/v/z/p/-original-imahddygkwstpy4n.jpeg?q=70,5200,12999,59%,Flipkart BBD Sale
Running Shoes For Men,https://fkrt.cc/hVyMILp,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/3/r/c/-original-imah9mgkqxgpc8ca.jpeg?q=70,1399,3695,62%,Flipkart BBD Sale
GEL-CUMULUS 26 Running Shoes For Men,https://fkrt.cc/hBSrrfC,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/t/v/4/-original-imahgbryt6nbuu6s.jpeg?q=70,4730,10999,56%,Flipkart BBD Sale
Jauntza M Running Shoes For Men,https://fkrt.cc/hBTno7F,https://rukminim2.flixcart.com/image/400/400/xif0q/shoe/c/x/q/-original-imahffac5byvjdgh.jpeg?q=50,1224,3599,65%,Flipkart BBD Sale
Fluo M Running Shoes For Men,https://fkrt.cc/hMCav9X,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/h/t/q/-original-imahgctkuvfjb2ur.jpeg?q=70,1355,3999,66%,Flipkart BBD Sale
Zig Dynamica Lite Running Shoes For Men,https://fkrt.cc/hnGmoGP,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/g/o/e/-original-imahfnyt4gc7hqyu.jpeg?q=70,2100,4999,57%,Flipkart BBD Sale
Running Shoes For Men,https://fkrt.cc/hexKCgv,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/f/0/f/-original-imahbxfw6mehyymr.jpeg?q=70,2407,4499,46%,Flipkart BBD Sale
FTR Xtraflow IDP Running Shoes For Men,https://fkrt.cc/hMYbvZn,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/l/f/u/-original-imahgbryuvhbzvsg.jpeg?q=70,1870,5499,65%,Flipkart BBD Sale
GO RUN CONSISTENT Running Shoes For Men,https://fkrt.cc/hDvt4ga,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/i/4/d/-original-imahgcstz8yassjf.jpeg?q=70,2310,5499,57%,Flipkart BBD Sale
SUPER SPEED Running Shoes For Men,https://fkrt.cc/hShWw4x,https://rukminim2.flixcart.com/image/612/612/xif0q/shoe/y/o/e/-original-imahgcstkjntemgg.jpeg?q=70,1240,2499,50%,Flipkart BBD Sale
