product name,url,Price,image url
Embellished Bollywood Lycra Blend Saree,https://www.flipkart.com/mijaashree-embellished-bollywood-lycra-blend-saree/p/itm96d7856928392?pid=SARGBH8GDETDRFJG&lid=LSTSARGBH8GDETDRFJGH3W8PT&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_11&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHspvZpaQjwbyAGyAN_ue2Adz8ZNewLDHackGR6e2EcYVw%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 320,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/w/j/4/-original-imagvhcty9zauk5z.jpeg?q=70
Embroidered Baluchari Georgette Saree,https://www.flipkart.com/nitya-creation-embroidered-baluchari-georgette-saree/p/itmb2bfad02fbcb5?pid=SARHF2G6GKCXFEQX&lid=LSTSARHF2G6GKCXFEQXKDIDJC&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_12&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHtX_tcxLb3YK5z2A5SAHXUpoagGxcg7saU8iO-exdcg8w%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 500,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/m/h/4/free-wine-hot-nitya-creation-semi-stitched-original-imahf2g6dgf6ayvg.jpeg?q=70
Floral Print Daily Wear Georgette Saree,https://www.flipkart.com/yashika-floral-print-daily-wear-georgette-saree/p/itmda162e3d8655f?pid=SARGSQMPUU46S3NZ&lid=LSTSARGSQMPUU46S3NZCDAKYZ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_13&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARGSQMPUU46S3NZ.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 269,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/r/r/5/free-rubi-green-yashika-unstitched-original-imahf3c8hrhbvfvx.jpeg?q=70
"Woven Banarasi Jacquard, Pure Silk Saree",https://www.flipkart.com/omsaiarts-woven-banarasi-jacquard-pure-silk-saree/p/itmcc17c0f1f0050?pid=SARH5E3EZG5ZH7FF&lid=LSTSARH5E3EZG5ZH7FFO63W28&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_14&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARH5E3EZG5ZH7FF.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 339,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/d/u/a/free-women-s-banarasi-silk-saree-omsaiarts-unstitched-original-imah8bjx5ghcwp3v.jpeg?q=70
Self Design Bollywood Art Silk Saree,https://www.flipkart.com/aarunika-sbt-self-design-bollywood-art-silk-saree/p/itme9b6fff097bff?pid=SARHDYYC3VWJHVUF&lid=LSTSARHDYYC3VWJHVUFGF8NV6&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_15&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARHDYYC3VWJHVUF.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 699,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/2/n/n/free-tanishq-wine-in-b4-aarunika-sbt-unstitched-original-imahdxzsnq8g7yyd.jpeg?q=70
Printed Bollywood Georgette Saree,https://www.flipkart.com/p-varity-printed-bollywood-georgette-saree/p/itmee090c16d1f5a?pid=SARGXXZTZQ75QHMC&lid=LSTSARGXXZTZQ75QHMCZGJAQW&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_16&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARGXXZTZQ75QHMC.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 283,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/b/c/l/free-printed-georgette-saree-with-heavy-border-p-varity-original-imahdzz5dzztb8fj.jpeg?q=70
"Embellished Bollywood Tissue, Silk Blend Saree",https://www.flipkart.com/lorofy-embellished-bollywood-tissue-silk-blend-saree/p/itm529b155da8113?pid=SARHCP5HNCRWKYNY&lid=LSTSARHCP5HNCRWKYNYPZMS96&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_17&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHvWdco-4BLJQuQd_oLou7wG5jaePoj1tzE5ro_23Czd2Q%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 771,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/h/d/n/free-2tone-1-0-lorofy-unstitched-original-imahd8cqygk8cqyk.jpeg?q=70
Embellished Bollywood Georgette Saree,https://www.flipkart.com/sheldrom-mart-embellished-bollywood-georgette-saree/p/itm88ac8d9a877aa?pid=SARH2QHEKGZVHQGG&lid=LSTSARH2QHEKGZVHQGGSWSMI6&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_18&otracker=browse&fm=organic&iid=en_84XUpeL8m9I5GuOWxGBjQNt76Ur5WN79io2lwAMbrHsDr4IFz--sBqeIY_nJcgbi2oUoY4nNwsmYN9PuVqGtLA%3D%3D&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 469,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/o/1/b/free-2-star-sheldrom-mart-unstitched-original-imahc6ad5vwfja6j.jpeg?q=70
"Temple Border, Solid/Plain Bollywood Lycra Blend, Chiffon Saree",https://www.flipkart.com/hnc-retail-temple-border-solid-plain-bollywood-lycra-blend-chiffon-saree/p/itm9e0c0e902f870?pid=SARGZWQGJWFAJA4C&lid=LSTSARGZWQGJWFAJA4CZM7XUT&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_19&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARGZWQGJWFAJA4C.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 299,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/y/x/t/free-wb-green-6039-hnc-retail-unstitched-original-imah6fg5e86q6ndy.jpeg?q=70
Embroidered Bollywood Georgette Saree,https://www.flipkart.com/belletrendz-embroidered-bollywood-georgette-saree/p/itm8f765bf22dc01?pid=SARHDVM6NDKHKRFU&lid=LSTSARHDVM6NDKHKRFUFQ6QVA&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_1_20&otracker=browse&fm=organic&iid=df190957-ff2b-47e5-8892-2bcab3b20612.SARHDVM6NDKHKRFU.SEARCH&ppt=None&ppn=None&ssid=c2817lv54g0000001753485382918,? 849,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/e/f/7/free-k5-shanta-pista-lajeelee-unstitched-original-imahdue8dufgkv6d.jpeg?q=70
