product name,url,image url,price,mrp,discount
"Embroidered Stitched Lehenga & Crop Top","https://www.flipkart.com/womenfasions-embroidered-stitched-lehenga-crop-top/p/itm7e86edd1656b6?pid=LCHHEF45Z7ZH6WXH&lid=LSTLCHHEF45Z7ZH6WXHTXGJ0L&marketplace=FLIPKART&store=clo%2Fhlg%2Fwrp&srno=b_1_1&otracker=browse&fm=organic&iid=en_RBFASScxfGiKGYIsWeoKFKhscQyVKUR7yugoSzUb5M3mTPCNrNpsTkm1Wfd-1D1-6bsvrmJpuKBBYUFpC1mYOg%3D%3D&ppt=None&ppn=None&ssid=ae0xzgh9340000001753569197037","https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/9/g/i/xl-3-4-sleeve-p-partywear-lehenga-womenfasions-original-imahef45ubdzsryd.jpeg?q=70","1950","2500","22%"
"Printed Semi Stitched Lehenga Choli","https://www.flipkart.com/mahi-creations-printed-semi-stitched-lehenga-choli/p/itm7cd1c8c6e337a?pid=LCHHDFXYSDXDYYMM&lid=LSTLCHHDFXYSDXDYYMM1NSA86&marketplace=FLIPKART&store=clo%2Fhlg%2Fwrp&srno=b_1_2&otracker=browse&fm=organic&iid=en_RBFASScxfGiKGYIsWeoKFKhscQyVKUR7yugoSzUb5M398s5_fmaCICGe0JYsHfB9gpGxFAq9ZstPgO3hdxgA6w%3D%3D&ppt=None&ppn=None&ssid=ae0xzgh9340000001753569197037","https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/t/f/p/free-full-sleeve-women-s-collection-dolla-silk-lehenga-choli-original-imahdfxyh2vfz3gx.jpeg?q=70","799","1299","38%"
"Embellished Stitched Lehenga with Jacket","https://www.flipkart.com/nilormy-embellished-stitched-lehenga-jacket/p/itm19096fbf7cdd6?pid=LCHHAG9ZXGKF3JDC&lid=LSTLCHHAG9ZXGKF3JDCNOD47K&marketplace=FLIPKART&store=clo%2Fhlg%2Fwrp&srno=b_1_3&otracker=browse&fm=organic&iid=4b4a2e23-8301-4764-a65a-02199ec572c2.LCHHAG9ZXGKF3JDC.SEARCH&ppt=None&ppn=None&ssid=ae0xzgh9340000001753569197037","https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/z/f/o/xl-full-sleeve-g-86-1078-purple-nilormy-original-imahag7netzfcrhv.jpeg?q=70","1674","7999","79%"
"Self Design Semi Stitched Lehenga Choli","https://www.flipkart.com/blanklook-self-design-semi-stitched-lehenga-choli/p/itm7e8a896cf5058?pid=LCHHD7YEF7FJH6Z9&lid=LSTLCHHD7YEF7FJH6Z9W99NZI&marketplace=FLIPKART&store=clo%2Fhlg%2Fwrp&srno=b_1_4&otracker=browse&fm=organic&iid=4b4a2e23-8301-4764-a65a-02199ec572c2.LCHHD7YEF7FJH6Z9.SEARCH&ppt=None&ppn=None&ssid=ae0xzgh9340000001753569197037","https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/h/b/t/free-na-zig-zeg-lehenga-choli-hem-selles-original-imah2v2bzdgyzeqk.jpeg?q=70","1206","3999","69%"
"Embroidered Semi Stitched Lehenga Choli","https://www.flipkart.com/divastri-embroidered-semi-stitched-lehenga-choli/p/itmbd3b3f7f96bda?pid=LCHH4EA9BEZTHBR9&lid=LSTLCHH4EA9BEZTHBR9TPXGDI&marketplace=FLIPKART&store=clo%2Fhlg%2Fwrp&srno=b_1_5&otracker=browse&fm=organic&iid=en_RBFASScxfGiKGYIsWeoKFKhscQyVKUR7yugoSzUb5M2GA0srZB5vh_-3U98OQb8bqYsbh4uaqY47iQc5rhosOA%3D%3D&ppt=None&ppn=None&ssid=ae0xzgh9340000001753569197037","https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/k/a/c/free-full-sleeve-lehenga-lehenga-for-women-lehenga-choli-net-original-imah4gpnwhzdqbqx.jpeg?q=70","498","3299","84%"
"Self Design Semi Stitched Lehenga Choli","https://www.flipkart.com/mr-y-self-design-semi-stitched-lehenga-choli/p/itm6e9e7274f0860?pid=LCHGGVYKJ3KZGGG6&lid=LSTLCHGGVYKJ3KZGGG6UBS5AH&marketplace=FLIPKART&store=clo%2Fhlg%2Fwrp&srno=b_1_6&otracker=browse&fm=organic&iid=en_RBFASScxfGiKGYIsWeoKFKhscQyVKUR7yugoSzUb5M0EFMGfTNoLsNt2JnUyvs965HC_OkDf6rqKDIXPXQQ_7Q%3D%3D&ppt=None&ppn=None&ssid=ae0xzgh9340000001753569197037","https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/x/z/f/free-half-sleeve-pochampalli-green-vrati-creation-original-imaggvykw4fqyebw.jpeg?q=70","666","2999","77%"
"Embroidered Semi Stitched Lehenga Choli","https://www.flipkart.com/blanklook-embroidered-semi-stitched-lehenga-choli/p/itm593516a2bb9f4?pid=LCHHDEWFU2DHX4Y2&lid=LSTLCHHDEWFU2DHX4Y2L9D02H&marketplace=FLIPKART&store=clo%2Fhlg%2Fwrp&srno=b_1_7&otracker=browse&fm=organic&iid=4b4a2e23-8301-4764-a65a-02199ec572c2.LCHHDEWFU2DHX4Y2.SEARCH&ppt=None&ppn=None&ssid=ae0xzgh9340000001753569197037","https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/m/h/j/free-short-sleeve-tree-rv-cynorhub-original-imahcyh9ggjge7gr.jpeg?q=70","1424","4999","71%"
"Embroidered Embellished Semi Stitched Lehenga Choli","https://www.flipkart.com/blanklook-embroidered-embellished-semi-stitched-lehenga-choli/p/itmdc7e76ec8f9b7?pid=LCHHDEWF3VKWHGCP&lid=LSTLCHHDEWF3VKWHGCPAAHWLP&marketplace=FLIPKART&store=clo%2Fhlg%2Fwrp&srno=b_1_8&otracker=browse&fm=organic&iid=4b4a2e23-8301-4764-a65a-02199ec572c2.LCHHDEWF3VKWHGCP.SEARCH&ppt=None&ppn=None&ssid=ae0xzgh9340000001753569197037","https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/t/j/h/free-na-dd-jalpari-sarathybiz-original-imahddyzgzt5kgxc.jpeg?q=70","1399","4999","72%"
"Self Design Semi Stitched Lehenga Choli","https://www.flipkart.com/jesorisaree-self-design-semi-stitched-lehenga-choli/p/itmaf9d8870c69ca?pid=LCHHDJJR6Q4RGEQ7&lid=LSTLCHHDJJR6Q4RGEQ72857YB&marketplace=FLIPKART&store=clo%2Fhlg%2Fwrp&srno=b_1_9&otracker=browse&fm=organic&iid=4b4a2e23-8301-4764-a65a-02199ec572c2.LCHHDJJR6Q4RGEQ7.SEARCH&ppt=None&ppn=None&ssid=ae0xzgh9340000001753569197037","https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/i/o/e/free-na-three-patti-maroon-sarathybiz-original-imahcwawgkhnutgz.jpeg?q=70","808","3999","79%"
"Embroidered Semi Stitched Lehenga Choli","https://www.flipkart.com/cute-fellow-embroidered-semi-stitched-lehenga-choli/p/itmbf495fb2b2b82?pid=LCHH9PKHHFPGHNCP&lid=LSTLCHH9PKHHFPGHNCP1VQMYL&marketplace=FLIPKART&store=clo%2Fhlg%2Fwrp&srno=b_1_10&otracker=browse&fm=organic&iid=4b4a2e23-8301-4764-a65a-02199ec572c2.LCHH9PKHHFPGHNCP.SEARCH&ppt=None&ppn=None&ssid=ae0xzgh9340000001753569197037","https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-lehenga-choli/s/9/a/free-full-sleeve-semi-stitched-44-embroidered-net-silk-satin-original-imah75cwjdmewsng.jpeg?q=70","498","3399","85%"
