product name,url,image url,price,mrp,discount
Men Cotton Blend Shirt Dhoti Set,https://www.flipkart.com/ramraj-cotton-men-shirt-dhoti-set/p/itm5e2ce5c4ebb84?pid=ETHH2VU5FRZ7RUQB&lid=LSTETHH2VU5FRZ7RUQBNY4Q8Q&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_11&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fTb4brfSIB0zNEA7NavQ7S26UpRQEGcOkxUHmOOudh6Kg%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/f/w/z/44-r1fshirtfparasu34-ramraj-cotton-original-imah7g83ykgespvz.jpeg?q=70,955,,
Men Cotton Blend Kurta Pyjama Set,https://www.flipkart.com/simran-creation-men-kurta-pyjama-set/p/itmdc36464bbc91c?pid=ETHGPV25YT9KZSDR&lid=LSTETHGPV25YT9KZSDRDUSD44&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_12&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fSjoKVC2-i5snoqq-lZiEKU7gtmcSWYlx0X47wZzr1Oew%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/j/t/s/l-0011-set-simran-creation-original-imahfrsgbhxwzjxf.jpeg?q=70,378,2499,84%
Pallavi s Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itmff11e0baecab1?pid=SWDH5ZFWY7FVKXND&lid=LSTSWDH5ZFWY7FVKXNDOTEYS3&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_13&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH5ZFWY7FVKXND.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-ethnic-set/b/l/m/m-pallavi-cotton-kurta-set-x-glam-original-imah4c7qpf7vsek2.jpeg?q=70,1276,3999,68%
SOFIA rama s Self Design Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-self-design-kurta-trouser-pant-dupatta-set/p/itm409fd0ef9450b?pid=SWDH5PZNXSQBASSS&lid=LSTSWDH5PZNXSQBASSSJOEMJO&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_14&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH5PZNXSQBASSS.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/9/c/n/xxl-sofia-women-embroidered-printed-kurta-set-x-glam-original-imah4zg8fbwdzzzt.jpeg?q=70,1570,3999,60%
VI-SAMEERA-WINE_xl Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm48847fd188968?pid=SWDHDMQ6MBM22FXQ&lid=LSTSWDHDMQ6MBM22FXQ2LCKNM&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_15&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDHDMQ6MBM22FXQ.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/0/1/v/m-sameera-tasme-original-imah48uatahbwmtz.jpeg?q=70,1297,2876,54%
VIDYA xxl Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm5eed5b359b6a3?pid=SWDH5R38DZB6HWME&lid=LSTSWDH5R38DZB6HWMEK3XQWV&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_16&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH5R38DZB6HWME.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-salwar-kurta-dupatta/8/h/t/s-vidhya-sareekart-original-imagwacrxuhd2suh.jpeg?q=70,1570,3999,60%
Men Cotton Blend Kurta Pyjama Ethnic Jacket Set,https://www.flipkart.com/tibra-collection-men-kurta-pyjama-ethnic-jacket-set/p/itmaeb0760042dac?pid=ETHGYH5AFDEFHZ57&lid=LSTETHGYH5AFDEFHZ576XAGP4&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_17&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fQ3-Z7SmsdPMNGBiXCTzTsmQXviZ-4xM1kBKo2my3MlOg%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/q/r/0/xl-mak-01-tibra-collection-original-imah56ysf2azzxhg.jpeg?q=70,395,1999,80%
Men Cotton Blend Kurta Pyjama Set,https://www.flipkart.com/nofilter-men-kurta-pyjama-set/p/itm66550402e7190?pid=ETHH246QZHZ6CKF5&lid=LSTETHH246QZHZ6CKF5JNU8MF&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_18&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=en_EOW1D5Dcrw6Bu3rzxBEfYwOBRuojbpx7zMVHLiuv9fTvP1e9te0XwrCN4LpnPjP_mq10JkB97fFPNCOyBs_EuQ%3D%3D&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/kurta/y/f/2/xl-chex-long-sopani-original-imagy3g9qxzuwjmh.jpeg?q=70,313,1999,84%
SOFIA l Self Design Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-self-design-kurta-trouser-pant-dupatta-set/p/itma6f2da4f639aa?pid=SWDH5PZNEJTQX6ZE&lid=LSTSWDH5PZNEJTQX6ZEXQIQUE&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_19&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDH5PZNEJTQX6ZE.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/p/g/g/m-sofia-women-embroidered-printed-kurta-set-x-glam-original-imah4zg8p27ab382.jpeg?q=70,1570,3999,60%
VT-NIRVA_yellow-xxl Embroidered Kurta Trouser/Pant & Dupatta Set,https://www.flipkart.com/jnnat-fashion-embroidered-kurta-trouser-pant-dupatta-set/p/itm7e2e06b5399ec?pid=SWDHDJK3DY7ZPRUM&lid=LSTSWDHDJK3DY7ZPRUMEVAWJB&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg&srno=b_1_20&otracker=product_breadCrumbs_jnnat%20fashion%20Ethnic%20Sets&fm=organic&iid=53b1fab2-e8eb-42cd-9963-5c4ac411e998.SWDHDJK3DY7ZPRUM.SEARCH&ppt=None&ppn=None&ssid=hv7foa03y80000001753727147187,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-salwar-kurta-dupatta/3/z/v/xxl-embrodairy-kurta-set-for-human-satamar-creation-original-imahbqq8yayqhaug.jpeg?q=70,1287,2590,50%
