product name,url,image url,price
Casual Regular Sleeves Self Design Women Brown Top,https://www.flipkart.com/sonic-fashion-casual-self-design-women-brown-top/p/itm0c6fe6623dcc7?pid=TOPGKN92RPTCRGEU&lid=LSTTOPGKN92RPTCRGEUGI9YO9&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_16&otracker=browse&fm=organic&iid=7d599a7a-6460-4195-88f3-cbe81ed95b36.TOPGKN92RPTCRGEU.SEARCH&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/top/g/j/t/xxl-llo1-sonic-fashion-original-imah5sugdudaecxq.jpeg?q=70,169
Women Regular Fit Solid Casual Shirt,https://www.flipkart.com/funday-fashion-women-solid-casual-green-shirt/p/itm34caf5b3cf0b6?pid=SHTGNTYFFW5CAFHM&lid=LSTSHTGNTYFFW5CAFHMLJFHI6&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_17&otracker=browse&fm=organic&iid=en_V3ojxGJ5vIKeWT_p7JSCH2SpABJ4PbE3yc8qIANdHhXLZOT5GRwXEfE4SypXAc09UKK3wafPjnVQsqwbZ-9PFQ%3D%3D&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/o/3/g/l-4898-901-funday-fashion-original-imagntyasjyghwha.jpeg?q=70,317
Pack of 2 Casual Sleeveless Solid Women Black White Top,https://www.flipkart.com/srisaras-casual-solid-women-black-white-top/p/itm5c82de9fd2ebc?pid=TOPGZXHUMVSMSZXY&lid=LSTTOPGZXHUMVSMSZXYYZRRSZ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_18&otracker=browse&fm=organic&iid=en_V3ojxGJ5vIKeWT_p7JSCH2SpABJ4PbE3yc8qIANdHhVTPcffSC6jQ5M-rLqjW_SeD5xciQKa_PErpVhIwLkgBA%3D%3D&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/top/o/9/k/xxs-sando-e-pinovo-original-imagzwfvmg4uqvau.jpeg?q=70,215
Casual Regular Sleeves Self Design Women Green Top,https://www.flipkart.com/max-casual-self-design-women-green-top/p/itm2029581aeb09f?pid=TOPGYUG9TWBXQ5HF&lid=LSTTOPGYUG9TWBXQ5HF0WG22U&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_19&otracker=browse&fm=organic&iid=7d599a7a-6460-4195-88f3-cbe81ed95b36.TOPGYUG9TWBXQ5HF.SEARCH&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/top/b/o/b/xl-1-mariah1bdark-green-max-original-imagyug9ccjtsz3d.jpeg?q=70,269
Casual Regular Sleeves Printed Women White Top,https://www.flipkart.com/sangouri-casual-printed-women-white-top/p/itm9c9413caabee9?pid=TOPH2SSBGUP2ZVXF&lid=LSTTOPH2SSBGUP2ZVXFZH7QG1&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_20&otracker=browse&fm=organic&iid=7d599a7a-6460-4195-88f3-cbe81ed95b36.TOPH2SSBGUP2ZVXF.SEARCH&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/top/h/b/d/l-1-formal-white-short-kurta-1060-sangouri-original-imahe5gd7vsgbcw3.jpeg?q=70,243
Casual Regular Sleeves Solid Women Black Top,https://www.flipkart.com/dream-beauty-fashion-casual-full-sleeve-solid-women-black-top/p/itm5f5630d5b1871?pid=TOPG2V9K5ASWGCP7&lid=LSTTOPG2V9K5ASWGCP7UXRUAL&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_21&otracker=browse&fm=organic&iid=en_V3ojxGJ5vIKeWT_p7JSCH2SpABJ4PbE3yc8qIANdHhVxsqe8U1tcEBJnrc2oKV99emRFaSAVdDKNZOzXSMnGdA%3D%3D&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/top/3/7/p/xl-1-t-461-empire-black-dream-beauty-fashion-original-imah9qtjjeemngry.jpeg?q=70,224
Women Printed Round Neck Pure Cotton Pink T-Shirt,https://www.flipkart.com/garmin-printed-women-round-neck-pink-t-shirt/p/itmbbbbefdc31368?pid=TSHHCYH4HQNKKUUV&lid=LSTTSHHCYH4HQNKKUUVQLVK4R&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_22&otracker=browse&fm=organic&iid=en_V3ojxGJ5vIKeWT_p7JSCH2SpABJ4PbE3yc8qIANdHhVU4gcxPhF-xUJhWgksLmRvYmCVuxpqzXuW_AZHmyJDTQ%3D%3D&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/i/z/h/m-1-wos-women-tee-oversized-garmin-original-imahddqma2a4wnbp.jpeg?q=70,307
Pack of 2 Women Printed Round Neck Cotton Blend Multicolor T-Shirt,https://www.flipkart.com/infirax-printed-women-round-neck-multicolor-t-shirt/p/itmf34e4b12416c5?pid=TSHGYHPE8DTY3ZCN&lid=LSTTSHGYHPE8DTY3ZCNBL07IX&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_23&otracker=browse&fm=organic&iid=7d599a7a-6460-4195-88f3-cbe81ed95b36.TSHGYHPE8DTY3ZCN.SEARCH&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/f/2/j/m-women-printed-2-combo-t-shirt-infirax-original-imagyhpeawz3wnts.jpeg?q=70,379
Women Printed Round Neck Pure Cotton White T-Shirt,https://www.flipkart.com/hipop-printed-women-round-neck-white-t-shirt/p/itma5c8b5d77748b?pid=TSHH5UEFSWHGAQZT&lid=LSTTSHH5UEFSWHGAQZT1F8SPL&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_24&otracker=browse&fm=organic&iid=7d599a7a-6460-4195-88f3-cbe81ed95b36.TSHH5UEFSWHGAQZT.SEARCH&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/t-shirt/v/n/f/s-cherry-white-hipop-original-imah7ffzauhsnhkt.jpeg?q=70,326
Casual Regular Sleeves Solid Women White Top,https://www.flipkart.com/dream-beauty-fashion-casual-solid-women-white-top/p/itma10636f1015f2?pid=TOPH5G8Z5DJKPH5Q&lid=LSTTOPH5G8Z5DJKPH5QRZCJFE&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_25&otracker=browse&fm=organic&iid=en_V3ojxGJ5vIKeWT_p7JSCH2SpABJ4PbE3yc8qIANdHhWxxhtMXctj9nfOVyKtijk0Fmkx1GnsO3ekIv4FF_qANA%3D%3D&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/top/f/s/u/s-top-11-trisha-white-dream-beauty-fashion-original-imah5g8zr5tzejcf.jpeg?q=70,224
Casual Regular Sleeves Printed Women Multicolor Top,https://www.flipkart.com/tandul-casual-printed-women-multicolor-top/p/itm4a42e07c160aa?pid=TOPH4EEWW5YSQ3A8&lid=LSTTOPH4EEWW5YSQ3A8P8ULBX&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_26&otracker=browse&fm=organic&iid=7d599a7a-6460-4195-88f3-cbe81ed95b36.TOPH4EEWW5YSQ3A8.SEARCH&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/top/m/k/o/m-9959-tandul-original-imah4eewz6nz29fx.jpeg?q=70,420
Women Boxy Fit Solid Spread Collar Casual Shirt,https://www.flipkart.com/funday-fashion-women-solid-casual-green-shirt/p/itm8b84aef10b134?pid=SHTGM5ZCZK3XSFFP&lid=LSTSHTGM5ZCZK3XSFFPAXTLTF&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_27&otracker=browse&fm=organic&iid=en_V3ojxGJ5vIKeWT_p7JSCH2SpABJ4PbE3yc8qIANdHhW53n7injMrwJyrk-KeMNraXcWmsoD1kPdxhvt4T_VRhA%3D%3D&ppt=None&ppn=None&ssid=9z904bvj5s0000001753565617805,https://rukminim2.flixcart.com/image/612/612/xif0q/shirt/v/y/s/xxl-4868-70-funday-fashion-original-imagm5zcgkmgjkdq.jpeg?q=70,364
