name,url,image,price
Women Viscose Rayon Kurti Palazzo Set,https://fkrt.cc/gBa0kYQ,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/3/2/6/xs-om-2145-d-shobhit-original-imah4zpgmzyzs3zj.jpeg?q=70,? 383
Women Silk Blend Kurta Pant Dupatta Set,https://fkrt.cc/gtyswLu,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/u/l/d/m-vv-9615-pa-vredevogel-original-imah8th76yz7hhrz.jpeg?q=70,? 902
Women Cotton Rayon Kurta Palazzo Dupatta Set,https://fkrt.cc/gXndZzw,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/6/h/v/xl-ma-lamba-creations-original-imah9j3cyfhnyyty.jpeg?q=70,? 489
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/g66RY7n,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/x/c/z/4xl-vice-grey-00-gsk-gosriki-original-imahd838v6ap4g4g.jpeg?q=70,? 899
Women Viscose Rayon Kurta Dupatta Set,https://fkrt.cc/goKABDX,https://rukminim2.flixcart.com/image/612/612/k6l2vm80/ethnic-set/n/j/v/xxl-bkgreen-baba-kurti-original-imafpytuqxvjyebf.jpeg?q=70,? 417
Women Viscose Rayon Kurti Pant Dupatta Set,https://fkrt.cc/gV3Eqwg,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/3/f/x/3xl-panihari-black-kevay-original-imah7ftfa9azngbw.jpeg?q=70,? 482
Women Silk Blend Kurta Pant Dupatta Set,https://fkrt.cc/gor54in,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/p/9/a/l-vv-9657-vredevogel-original-imah5vqfzy3vgyfy.jpeg?q=70,? 873
Women Cotton Blend Kurti Palazzo Set,https://fkrt.cc/gWNXreS,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/w/b/l/m-d-no-27-new-light-pink-kurta-set-divastri-original-imahccafxtrg5ghw.jpeg?q=70,? 498
Women Georgette Ethnic Top Palazzo Dupatta Set,https://fkrt.cc/gYe2mxq,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/j/q/8/m-shararasuitsf251173-m-size-kapanku-original-imahctvhzvadk6zz.jpeg?q=70,"? 2,599"
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/g5exXnk,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/c/f/t/xl-200-3pc-set-mauka-original-imah8xwfgtfyxnbn.jpeg?q=70,? 697
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/g0EB48T,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/e/9/8/xl-tf-rani101-tribalfit-original-imah7v6anwzx34bh.jpeg?q=70,? 485
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/ggV973Z,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/q/z/s/s-aastha-suit-dv-divastri-original-imah9qmy9hmkgq7b.jpeg?q=70,? 814
Women Pure Cotton Kurta Dupatta Set,https://fkrt.cc/gyANJYt,https://rukminim2.flixcart.com/image/612/612/kxkqavk0/ethnic-set/s/z/x/3xl-stylish-1505-white-cotton-printed-anarkali-duppatta-set-new-original-imagay5hnzchgrjg.jpeg?q=70,? 495
Printed Kurta Palazzo & Dupatta Set,https://fkrt.cc/gYdTKJY,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/c/r/1/3xl-anarkali-maroon-oumad-original-imahbgc5qhjy7z9q.jpeg?q=70,? 789
Women Cotton Rayon Kurta Pant Dupatta Set,https://fkrt.cc/gB8iKA3,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/q/e/n/m-prt-red-new-taranjal-original-imahfr9mbfwhqwum.jpeg?q=70,? 660
Women Viscose Rayon Kurti Pant Dupatta Set,https://fkrt.cc/gpPuOjm,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/b/7/m/xl-ps-peach-2025-pschoice-original-imahavzewhkyyuzk.jpeg?q=70,? 499
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/g2jn0BL,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/8/v/k/xxl-klosia-brown-1-fashion-hour-original-imah8dutnr8teddp.jpeg?q=70,? 652
Floral Print Anarkali Kurta Bottom & Dupatta Set,https://fkrt.cc/ggwbPvz,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/m/x/8/m-wk01-jodaa-original-imahb8ywh9hvwbum.jpeg?q=70,? 639
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/gB0g1oI,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/u/w/0/s-wine0-subhla-art-original-imah6j8gsukghnen.jpeg?q=70,? 581
Embroidered Kurta Patiala & Dupatta Set,https://fkrt.cc/gVmyyhR,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/n/x/z/xxl-vhanvsrw4114-vihaanexim-original-imagx9z3zrzxda5h.jpeg?q=70,? 500
Women Art Silk Kurti Pant Dupatta Set,https://fkrt.cc/gaxznk1,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/u/l/a/3xl-2029-ayukta-international-original-imahbwfb45yxxmeh.jpeg?q=70,? 492
Women Viscose Rayon Kurta Pant Set,https://fkrt.cc/g5bl5OI,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/u/e/g/xxl-kurta-pant-set-tawaqqo-original-imah3g3bfrdcu5a9.jpeg?q=70,? 480
Women Cotton Rayon Kurti Pant Dupatta Set,https://fkrt.cc/g7cnzc1,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/y/c/5/s-sc-kurti-plazo-trahimam-original-imah7hfhdswgdbfk.jpeg?q=70,? 500
Women Viscose Rayon Kurta Pant Set,https://fkrt.cc/gqyqRlH,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/b/x/u/3xl-kurta-pant-9c-zela-original-imah96zvvtmyc6nw.jpeg?q=70,? 448
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/g4QWf5q,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/3/j/f/s-rx53-purple-royal-export-original-imahyskbpkrfa2xh.jpeg?q=70,? 690
Women Cotton Rayon Kurti Pant Set,https://fkrt.cc/g0ZP482,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/8/t/m/-original-imahebfd7vhhdpa6.jpeg?q=70,? 463
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/gXaKYft,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/g/z/m/3xl-yusra-1115-m-yusra-original-imah4qgc2nzgfy7z.jpeg?q=70,? 658
Women Chanderi Kurta Pant Dupatta Set,https://fkrt.cc/gN8ljc1,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/o/z/n/3xl-chanderi-dishwa-fashion-original-imah8wgzrzsm49xh.jpeg?q=70,? 732
Printed Kurta Palazzo & Dupatta Set,https://fkrt.cc/gXYYM1J,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/v/y/h/xxl-2009123-readiprint-original-imahdeu35bcgeeud.jpeg?q=70,"? 3,420"
Women Pure Cotton Kurta Pant Dupatta Set,https://fkrt.cc/gjBrIHx,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/y/b/q/s-swati-suit-klosia-original-imagvzvf3yurxkbe.jpeg?q=70,? 492
