name,url,image,price
Printed Kurta Palazzo & Dupatta Set,https://fkrt.cc/gNLNdL5,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/t/3/o/l-yellow-anarkali-3p-oumad-original-imah82n6fprwexkg.jpeg?q=70,? 678
Embroidered Kurta Trouser/Pant & Dupatta Set,https://fkrt.cc/gyMkDlg,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/a/n/f/m-203-minni-collection-original-imah8zzhyxj3mtau.jpeg?q=70,? 666
Women Cotton Blend Kurti Pant Dupatta Set,https://fkrt.cc/gJcFhnV,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/j/1/l/3xl-embro001-tibra-attire-original-imah7wdveefgqzfg.jpeg?q=70,? 478
Women Viscose Rayon Kurti Pant Set,https://fkrt.cc/gcC5rta,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-ethnic-set/i/i/h/3xl-shantika-shantika-original-imahe2ktgp4prezb.jpeg?q=70,? 470
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/gfpx7P0,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/q/g/l/xxl-tie-dye-001-fabunna-cotton-original-imah78vhsv3ymddg.jpeg?q=70,? 470
Women Viscose Rayon Kurti Pant Dupatta Set,https://fkrt.cc/gpatyiv,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/3/f/x/3xl-panihari-black-kevay-original-imah7ftfa9azngbw.jpeg?q=70,? 482
Women Pure Cotton Kurta Pant Set,https://fkrt.cc/gBx30rr,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/7/u/n/xxl-jw-186-grey-jc4u-original-imahdbm82zbxwxwp.jpeg?q=70,? 999
Women Georgette Ethnic Top Dupatta Set,https://fkrt.cc/gT3OTle,https://rukminim2.flixcart.com/image/612/612/xif0q/gown/o/5/o/na-xl-full-sleeve-stitched-hd-vnten-d11-marron-helwin-designer-original-imahb8f7h5hr8ypy.jpeg?q=70,? 682
Women Cotton Blend Kurta Pant Dupatta Set,https://fkrt.cc/gHClNVh,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/4/s/k/s-blue-kurta-dd-s-creation-original-imah2eg58ahuycab.jpeg?q=70,? 488
Women Viscose Rayon Kurta Pant Dupatta Set,https://fkrt.cc/gApI2rG,https://rukminim2.flixcart.com/image/612/612/xif0q/ethnic-set/k/u/2/xxl-tie-dye-001-fabunna-cotton-original-imagzwfb5v6mjupy.jpeg?q=70,? 469
