product name,url,image url,price,mrp,discount,brand
Cowl Neck Top,https://www.myntra.com/tops/traquila/traquila-cowl-neck-top/32878475/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/21/3zQn4aJs_7878ee308aa44398b06b34e8cbcfc271.jpg,320,2499,2179,Myntra
Cut-Out Ribbed Crop Top,https://www.myntra.com/tops/dressberry/dressberry-cut-out-ribbed-crop-top/30194781/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/NOVEMBER/13/fiSN01uJ_947bad0341af4b8982e0073054397649.jpg,335,799,58%,Myntra
Side Slit Bandeau Top,https://www.myntra.com/tops/glitchez/glitchez-side-slit-bandeau-top/32550422/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/2/h9qK2oss_0603db6ac73d4525a21a1c3e8f07211d.jpg,289,999,71%,Myntra
Women Flutter Sleeve Top,https://www.myntra.com/tops/szn/szn-women-keyhole-neck-flutter-sleeve-regular-top/33396376/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/29/DpHu6kcP_15ba9e5bc78b4c28886aa82471633b66.jpg,299,849,550,Myntra
Puff Sleeve Top,https://www.myntra.com/tops/dream+beauty+fashion/dream-beauty-fashion-v-neck-puff-sleeve-top/25019972/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/25019972/2023/9/28/869a02c7-cf0d-4b66-8a07-87485ca70ca31695910622615DreamBeautyFashionRedPuffSleeveTop1.jpg,249,999,750,Myntra
Floral V-Neck Puff Sleeves Top,https://www.myntra.com/tops/stylecast+x+slyck/stylecast-x-slyck-floral-printed-v-neck-puff-sleeves-top/33181002/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/12/TK8ooOm4_72dc1731241d48e89f2b020846af1e9f.jpg,391,1399,72%,Myntra
Women Sweetheart Neck Top,https://www.myntra.com/tops/traquila/traquila-women-sweetheart-neck-longline-top/33396631/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/29/tOq0XPXY_7100104e07404bab81261520b8afe494.jpg,308,2499,2191,Myntra
Tank Top,https://www.myntra.com/tops/the+cloth+crow/the-cloth-crow-cotton-tank-crop-top/33532110/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/APRIL/9/DZw2av94_5132b1a6d4664f82aca77309d3078999.jpg,289,1449,80%,Myntra
Zipper Fitted Crop Top,https://www.myntra.com/tops/istyle+can/istyle-can-shirt-collar-zipper-fitted-crop-top/35125662/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JUNE/23/StLflX0g_3d6596de86604710ad8a68c13cc88458.jpg,304,999,695,Myntra
Tank Top,https://www.myntra.com/tops/the+cloth+crow/the-cloth-crow-cotton-tank-crop-top/33534073/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/APRIL/9/pYBCpMM0_70ee510465b343babf4134b019bacd77.jpg,289,1449,80%,Myntra
Color Crush Solid Top,https://www.myntra.com/tops/dressberry/dressberry-solid-gathered-top/29075514/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/29075514/2024/5/20/eff1aa7e-ee2c-471f-a2d3-111393b9528a1716189910316-DressBerry-Women-Tops-6191716189909637-4.jpg,377,899,58%,Myntra
V-Neck Wrap Top,https://www.myntra.com/tops/popwings/popwings-v-neck-wrap-crop-top/24762288/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/24762288/2023/9/1/ba9b94a1-0119-467c-aa83-0ca03b4d72d01693564153490PopwingsRedWrapCropTop1.jpg,359,1999,82%,Myntra
Floral Printed Cotton Top,https://www.myntra.com/tops/stylecast+x+kotty/stylecast-x-kotty-women-floral-printed-cotton-top/34513742/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/28/cxHVSILq_80e2feda330d4834b984ddcecd39f5ba.jpg,233,1299,82%,Myntra
Round Neck Ribbed Fitted Top,https://www.myntra.com/tops/istyle+can/istyle-can-women-round-neck-ribbed-fitted-top/35678417/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JULY/15/Peg2b7nB_b32aea0fb8bf4f40ba3743b4adf924be.jpg,304,999,695,Myntra
Fitted Crop Top,https://www.myntra.com/tops/aahwan/aahwan-women-red-scoop-neck-sleeveless-crop-top/33231892/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/18/1Urefup9_bcb1a5d71f044087925288994faedf1e.jpg,258,1999,1741,Myntra
Ruched Fitted Top,https://www.myntra.com/tops/glitchez/glitchez-tie-up-detail-ruched-fitted-top/32020453/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/32020453/2025/7/3/f58aee0f-5dfb-484f-8f63-5e451f8da0c81751524191166-glitchez-Tie-Up-Detail-Ruched-Fitted-Top-1501751524190878-1.jpg,279,999,72%,Myntra
Striped Top,https://www.myntra.com/tops/stylecast+x+slyck/stylecast-x-slyck-striped-smocked-crop-top/33078597/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/6/51rlk7Qf_f4b880051d654204aabea9f282aa331a.jpg,356,1699,79%,Myntra
Tank Top,https://www.myntra.com/tops/istyle+can/istyle-can-tank-crop-top/33015590/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/2/cLCzMRpL_bab3f88f513b4289af752cbdce5af01c.jpg,304,999,695,Myntra
Checked Top,https://www.myntra.com/tops/popwings/popwings-checked-cotton-top/30055335/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/30055335/2024/6/28/f3ab0b79-1c33-4e27-a2e7-67705908b3b91719545509945PopwingsCheckedCottonTop1.jpg,379,1999,81%,Myntra
Halter Neck Styled Back Top,https://www.myntra.com/tops/zyng/zyng-halter-neck-styled-back-crop-top/33545379/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/APRIL/9/cffPmqeV_adb2d8cbd8cb434bac3e92e8db6de95f.jpg,318,999,681,Myntra
Women Styled Back Crop Top,https://www.myntra.com/tops/zyng/zyng-women-halter-neck-styled-back-crop-top/31571923/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/31571923/2024/11/19/0bec97a1-8d03-4fe3-b98d-20ef77d350cc1731961803572-ZYNG-Women-Halter-Neck-Styled-Back-Crop-Top-3351731961803262-1.jpg,312,1399,1087,Myntra
Floral Print Shirt Style Top,https://www.myntra.com/tops/a%26k/ak-floral-print-mandarin-collar-ethnic-shirt-style-top/32706040/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/32706040/2025/2/18/085b263e-a46d-43d4-8d50-afec0a5b423a1739876211556-AK-Women-Tops-7131739876211174-1.jpg,399,1995,80%,Myntra
Top Solid,https://www.myntra.com/tops/stylecast+x+kotty/stylecast-x-kotty-women-cotton-top/34516177/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/28/jHNBFyHW_5a3b301563e64f79abf37aa357261012.jpg,246,1299,81%,Myntra
Floral Print Tie-Up Neck Top,https://www.myntra.com/tops/stylecast+x+kotty/stylecast-x-kotty-women-floral-print-tie-up-neck-cotton-top/34518291/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/28/Y6pwAprH_9a0d97ef3398469aa6a256e0d65cf2bb.jpg,259,1299,80%,Myntra
Halter Neck Tiered Top,https://www.myntra.com/tops/istyle+can/istyle-can-halter-neck-tiered-crop-top/33015550/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/2/eicAB3Lu_57e24d15f62349a0afaf99846f4ce1c7.jpg,276,999,723,Myntra
Polka Dot Print Cotton Top,https://www.myntra.com/tops/stylecast+x+kotty/stylecast-x-kotty-women-polka-dot-print-cotton-top/34518305/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/28/ymLaTvKL_0f8776adffed41cc9c3ee0dbfbdf1cae.jpg,233,1299,82%,Myntra
Solid Fitted Crop Top,https://www.myntra.com/tops/aahwan/aahwan-women-red-solid-fitted-crop-top/20048018/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/20048018/2022/9/17/1fd04c68-06cc-4964-a1f1-9fba832ed1f71663407336138AAHWANRedCropTop1.jpg,258,999,741,Myntra
Sleeveless Regular Top,https://www.myntra.com/tops/stylecast+x+kotty/stylecast-x-kotty-sleeveless-regular-top/34513777/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/28/HCYUy3On_64fb22a329414f3da1dfd2ede94716ec.jpg,233,1299,82%,Myntra
Top Solid,https://www.myntra.com/tops/echolope/echolope-crop-top/34864433/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JUNE/11/8JSS6yuv_90484aecefbc487aaf444f1636d48021.jpg,384,699,45%,Myntra
V-Neck Shirt Style Top,https://www.myntra.com/tops/limeroad/limeroad-v-neck-shirt-style-top/33994816/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/7/jCjYvc0G_f73dfb1046bf444092fe700202620dc4.jpg,363,499,136,Myntra
Floral Printed V-Neck Crop Top,https://www.myntra.com/tops/limeroad/limeroad-women-floral-printed-v-neck-cotton-crop-top/33994813/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/7/r1NCvbMv_af52f85b442446f48eae5dc785697fbd.jpg,348,399,51,Myntra
