product name,url,image url,price,mrp,discount,brand
Floral Print A-Line Midi Dress,https://www.myntra.com/dresses/stylecast+x+slyck/stylecast-x-slyck-floral-print-a-line-midi-dress/33489325/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/APRIL/5/7U8fDTHw_291ac5f4e3014b668868624b6cb747ad.jpg,599,1999,70%,Myntra
Bodycon Dress,https://www.myntra.com/dresses/stylecast+x+slyck/stylecast-x-slyck-bodycon-dress/33489329/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/APRIL/6/1yfYf9Bw_4d23892b32424bf5aeac07ccd2ef1ccd.jpg,550,1899,71%,Myntra
Shoulder Strap Sheath Dress,https://www.myntra.com/dresses/stylecast+x+slyck/stylecast-x-slyck-abstract-shoulder-strap-midi-sheath-dress/30585545/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/AUGUST/14/aYIPW406_16e256e3d420461b8c1a153a064f9a30.jpg,539,1799,70%,Myntra
Puff Sleeve Wrap Dress,https://www.myntra.com/dresses/stylecast+x+slyck/stylecast-x-slyck-women-puff-sleeve-wrap-dress/33577667/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/APRIL/12/q8z0jeMY_7f1998d2da9b4127af20db1c23b44be1.jpg,569,1899,70%,Myntra
Women Solid A-Line Midi Dress,https://www.myntra.com/dresses/stylecast+x+slyck/stylecast-x-slyck-women-solid-a-line-midi-dress/33801842/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/APRIL/28/TVtKp1gd_91ae150e2def4d9baf30cf8b4b531662.jpg,550,1899,71%,Myntra
Bodycon Slits Midi Dress,https://www.myntra.com/dresses/stylecast+x+slyck/stylecast-x-slyck-women-halter-neck-bodycon-slits-midi-dress/34968982/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JUNE/16/wHnzgtBS_a6dd4d90b33d4256a19bdaa7fcd63a24.jpg,521,1799,71%,Myntra
Pure Cotton Fit & Flare Dress,https://www.myntra.com/dresses/tokyo+talkies/tokyo-talkies-pink--white-floral-printed-pure-cotton-fit--flare-dress/29345434/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/29345434/2024/5/4/741b9098-ad14-4d3e-9090-19a3b44493381714771828069TokyoTalkiesFloralPrintFitFlareDress1.jpg,346,3149,89%,Myntra
Halter Neck Bodycon Midi Dress,https://www.myntra.com/dresses/stylecast+x+kotty/stylecast-x-kotty-women-halter-neck-bodycon-midi-dress/35147365/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JUNE/24/ThXF4AZP_91c2569729ae4102a362aa55005928ce.jpg,479,1999,76%,Myntra
Shoulder Straps A-Line Dress,https://www.myntra.com/dresses/stylecast+x+slyck/stylecast-x-slyck-striped-shoulder-straps-slits-details-a-line-maxi-dress/33896118/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MAY/2/MtfADzqb_9dcf14dc8ed14ed4a8780c7869d40ff1.jpg,587,2099,72%,Myntra
Strapless Bodycon Maxi Dress,https://www.myntra.com/dresses/stylecast+x+slyck/stylecast-x-slyck-strapless-bodycon-maxi-dress/30585630/buy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/AUGUST/14/KtWg38Lu_6770576af87443f18861349406aee32d.jpg,399,1599,75%,Myntra
