product name,url,image url,price,mrp,discount,brand
Polka Dot Printed Kurta Set,https://myntr.it/zImNb9A,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/FEBRUARY/18/xdVK99Hk_a4e7b82b229b4923b56a4dbc734c34a9.jpg,1699,3499,1800,Myntra
Embroidered Kurti Set,https://myntr.it/YGF1mIL,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/31939704/2024/12/12/68699ecc-0e67-4fa0-b5b7-f283a39787341733977399281FIORRAWomenFloralEmbroideredRegularThreadWorkKurtiwithPalazz1.jpg,1487,4999,3512,Myntra
Yoke Design Cotton Kurta Set,https://myntr.it/q97Z7wh,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/33610922/2025/5/8/4e613453-3c7e-48ce-bfc8-dd400803c0201746692919355-Anouk-Floral-Yoke-Design-V-Neck-Empire-Aari-Work-Pure-Cotton-1.jpg,1439,5999,76%,Myntra
Women Printed Kurta Set,https://myntr.it/KUABmxO,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/33084917/2025/4/15/30d1bbb7-0467-4ef7-912d-c63600d3eab51744726988894-Libas-Women-Floral-Printed-Regular-Kurta-with-Salwar--With-D-1.jpg,1399,3499,2100,Myntra
Floral Printed Kurta Set,https://myntr.it/i68JEO6,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/SEPTEMBER/14/hhTJa3KB_9e470e7c3a42498184482c99eec0ab43.jpg,1599,8999,7400,Myntra
Floral Printed Kurta Set,https://myntr.it/G04R31e,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/JUNE/30/xD7cfExb_cfa1b106e5b045269d2079b4e4626f5e.jpg,1299,4999,3700,Myntra
Printed Kurta Set,https://myntr.it/HqCmREQ,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/10/pNeYrNfC_df98a275bc5f40c1a0a0a95f62dd1ba3.jpg,1349,3499,2150,Myntra
Printed Straight Kurta Set,https://myntr.it/XfdRwFy,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2024/AUGUST/22/0Pfx6HK5_bcd8b6812ddf4dcab5d273b01fc9fc2a.jpg,971,3999,3028,Myntra
Women Embroidered Kurta Set,https://myntr.it/C6xPNs2,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/23873386/2023/7/13/af75a7df-c8c9-474c-abc4-3adb5432d6641689240071079-Indo-Era-Mustard-Embroidered-Straight-Kurta-Trousers-With-Du-1.jpg,1499,5599,4100,Myntra
Kurta with Trousers & Dupatta,https://myntr.it/3yi3NTe,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/25667348/2023/10/28/1a2b2158-e393-4a29-be9b-cc6b37e72dc41698483565373KurtaSets1.jpg,4663,10599,56%,Myntra
Floral Yoke Design Kurta Set,https://myntr.it/HaFPTe1,https://assets.myntassets.com/dpr_2q_60w_210c_limitfl_progressive/assets/images/2025/MARCH/17/VOhS2EAQ_f3413867de7c405b90c5cc2f0114c8cc.jpg,2009,6699,70%,Myntra
