product name,url,image url,price,mrp,discount
Girls Festive & Party Salwar and Kurta Set,https://www.flipkart.com/kidsearth-girls-festive-party-salwar-kurta-set/p/itm91522c9ef3c4b?pid=KETHE7Y8QHCCRAYA&lid=LSTKETHE7Y8QHCCRAYAWGLK50&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_1&otracker=browse&fm=organic&iid=en_m5Ry_nrOS7v9qeYihOUK3yCs5p9LY5lcO-GG5H7olaRXhdl7b-1-5iCW8PMS686MczMkxk6Fdusn5czHW_EJew%3D%3D&ppt=None&ppn=None&ssid=u1oxl53aeo0000001753724061530,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/x/z/e/7-8-years-ypdg25987-kidsearth-original-imahe6ykudsjhdzg.jpeg?q=70,399,1299,69%
Girls Festive & Party Salwar and Kurta Set,https://www.flipkart.com/kidsearth-girls-festive-party-salwar-kurta-set/p/itm70912e764da89?pid=KETHE7Y8EVZ2PDEY&lid=LSTKETHE7Y8EVZ2PDEYDR25CR&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_2&otracker=browse&fm=organic&iid=en_m5Ry_nrOS7v9qeYihOUK3yCs5p9LY5lcO-GG5H7olaTRjQEpyjnv7pJCTTXccT6VweG44ZpRVyG4yn6nD-TsHA%3D%3D&ppt=None&ppn=None&ssid=u1oxl53aeo0000001753724061530,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/l/c/l/8-9-years-ypdg25987-kidsearth-original-imahecbmhx2wvyqa.jpeg?q=70,399,1299,69%
Girls Festive & Party Kurta and Patiala Set,https://www.flipkart.com/mg-dresses-girls-festive-party-kurta-patiala-set/p/itm59c373c73b9fe?pid=KETGW5FF9MJH9PNB&lid=LSTKETGW5FF9MJH9PNBQSVQNG&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_3&otracker=browse&fm=organic&iid=587573b3-ec88-497d-ba00-4830b750c18a.KETGW5FF9MJH9PNB.SEARCH&ppt=None&ppn=None&ssid=u1oxl53aeo0000001753724061530,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/j/6/1/7-8-years-embpatiyala-mg-dresses-original-imagw5ffhyhgpqzs.jpeg?q=70,388,1599,75%
Baby Boys & Baby Girls Festive & Party Kurta and Dhoti Pant Set,https://www.flipkart.com/trendy-clothes-baby-boys-girls-festive-party-kurta-dhoti-pant-set/p/itm879a20a47d4e3?pid=KETHE69HJ6ASEBHV&lid=LSTKETHE69HJ6ASEBHV2D3JWH&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_4&otracker=browse&fm=organic&iid=587573b3-ec88-497d-ba00-4830b750c18a.KETHE69HJ6ASEBHV.SEARCH&ppt=None&ppn=None&ssid=u1oxl53aeo0000001753724061530,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/q/c/r/1-2-years-makhan-chor-trendy-clothes-original-imahe69hgh6hdpty.jpeg?q=70,110,300,63%
Girls Festive & Party Salwar and Kurta Set,https://www.flipkart.com/kidsearth-girls-festive-party-salwar-kurta-set/p/itm1c96775bc434e?pid=KETHE7Y8XWGR2FEP&lid=LSTKETHE7Y8XWGR2FEPOCA6GQ&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_5&otracker=browse&fm=organic&iid=en_m5Ry_nrOS7v9qeYihOUK3yCs5p9LY5lcO-GG5H7olaTk1RNOE_K7ENIk83pkZ-vEHBi9OuQIkJKS2XPN8YX6kg%3D%3D&ppt=None&ppn=None&ssid=u1oxl53aeo0000001753724061530,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/p/7/6/4-5-years-ypdg25987-kidsearth-original-imahe6yk7p9zgrjz.jpeg?q=70,399,1299,69%
Embroidered Kurta Sharara & Dupatta Set,https://www.flipkart.com/surpanth-embroidered-kurta-sharara-dupatta-set/p/itm5286fa1ca7834?pid=SWDHDEWPDHFF2ZYU&lid=LSTSWDHDEWPDHFF2ZYUJHXFA7&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_6&otracker=browse&fm=organic&iid=en_m5Ry_nrOS7v9qeYihOUK3yCs5p9LY5lcO-GG5H7olaSEHhDdRnY9PPY7DnDZTQT0iQQSLjptV4rfkGB7eqhgow%3D%3D&ppt=None&ppn=None&ssid=u1oxl53aeo0000001753724061530,https://rukminim2.flixcart.com/image/612/612/xif0q/salwar-kurta-dupatta/q/x/e/xs-z31-red-xs-surpanth-original-imahdewppapxjg7n.jpeg?q=70,1299,4999,74%
Girls Festive & Party Kurta and Palazzo Set,https://www.flipkart.com/jmcloth-girls-festive-party-kurta-palazzo-set/p/itmf8808daa58435?pid=KETHE7HGBYNGPGSN&lid=LSTKETHE7HGBYNGPGSNBR0NFW&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_7&otracker=browse&fm=organic&iid=587573b3-ec88-497d-ba00-4830b750c18a.KETHE7HGBYNGPGSN.SEARCH&ppt=None&ppn=None&ssid=u1oxl53aeo0000001753724061530,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/6/f/b/6-7-years-jmpcpflip-jmcloth-original-imahe8r4fsgg9htg.jpeg?q=70,599,799,25%
Baby Girls Festive & Party Kurta and Palazzo Set,https://www.flipkart.com/samprit-fashion-baby-girls-festive-party-kurta-palazzo-set/p/itme309b0222fd9d?pid=KETHE4TCGKX9PEAA&lid=LSTKETHE4TCGKX9PEAAMDOC4Q&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_8&otracker=browse&fm=organic&iid=587573b3-ec88-497d-ba00-4830b750c18a.KETHE4TCGKX9PEAA.SEARCH&ppt=None&ppn=None&ssid=u1oxl53aeo0000001753724061530,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/h/j/i/6-12-months-sf101-samprit-fashion-original-imahe4tcryyxfsky.jpeg?q=70,320,899,64%
Girls Festive & Party Kurta and Palazzo Set,https://www.flipkart.com/gaaish-girls-festive-party-kurta-palazzo-set/p/itm9fc17bf848649?pid=KETHDU8TRSDFEBMK&lid=LSTKETHDU8TRSDFEBMKZOS61P&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_9&otracker=browse&fm=organic&iid=587573b3-ec88-497d-ba00-4830b750c18a.KETHDU8TRSDFEBMK.SEARCH&ppt=None&ppn=None&ssid=u1oxl53aeo0000001753724061530,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/p/j/a/8-10-years-kids-traditional-wear-qluture-original-imahdzs2keurnwu9.jpeg?q=70,599,1599,62%
Girls Festive & Party Kurta and Skirt Set,https://www.flipkart.com/satyamfab-girls-festive-party-kurta-skirt-set/p/itmca2bd4477b7af?pid=KETGXZD9FGEWNHC2&lid=LSTKETGXZD9FGEWNHC2XCHAKE&marketplace=FLIPKART&store=clo%2Fcfv&srno=b_1_10&otracker=browse&fm=organic&iid=587573b3-ec88-497d-ba00-4830b750c18a.KETGXZD9FGEWNHC2.SEARCH&ppt=None&ppn=None&ssid=u1oxl53aeo0000001753724061530,https://rukminim2.flixcart.com/image/612/612/xif0q/kids-ethnic-set/x/8/h/8-9-years-5363-satyamfab-original-imagxzd9chmxacfb.jpeg?q=70,550,2999,81%
