product name,url,image url,price,mrp,discount
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/goOWbZd,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/d/6/v/free-half-sleeve-rk4039-tajmahal-babypink-unstitch-mr-y-original-imah79v69fqqapt9.jpeg?q=70,974,2999,67%
Embellished Stitched Lehenga & Crop Top,https://fkrt.cc/gNrsIuc,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/4/w/r/xl-sleeveless-lg-001-pink-nilormy-original-imahcmwvnt2kpjra.jpeg?q=70,1669,5999,72%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/gGIsx38,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/k/d/v/free-3-4-sleeve-lehenga-lehenga-for-women-lehenga-choli-lehenga-original-imagpa5ktzqdkgbh.jpeg?q=70,495,3299,84%
Printed Semi Stitched Lehenga Choli,https://fkrt.cc/gVslF2M,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/f/7/s/free-half-sleeve-kalamkari-purple-pal-enterprise-original-imah83q3rzwdzznf.jpeg?q=70,922,2999,69%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/gXnKbOk,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/a/g/d/free-full-sleeve-engal-sitara-omstar-fashion-original-imahdh6hyw7xgsra.jpeg?q=70,799,1999,60%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/gTlkFYT,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/e/7/0/free-full-sleeve-128-rani-jf50198-jogmaya-fashion-original-imahcz5phtrgsqqb.jpeg?q=70,2489,8299,70%
Solid Semi Stitched Lehenga Choli,https://fkrt.cc/gCIAQJb,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/p/w/2/free-na-ariya-f1-pavitraa-sarees-original-imah28z63prfhpff.jpeg?q=70,720,3899,81%
Self Design Semi Stitched Lehenga Choli,https://fkrt.cc/gm5QOLh,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/u/f/d/free-na-three-patti-maroon-sarathybiz-original-imahcwavhycyanyc.jpeg?q=70,857,3999,78%
Printed Semi Stitched Lehenga Choli,https://fkrt.cc/gfdfVA0,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/v/g/z/free-full-sleeve-women-s-collection-dolla-silk-lehenga-choli-original-imahdfxy4nrqgfn9.jpeg?q=70,799,1299,38%
Printed Semi Stitched Lehenga Choli,https://fkrt.cc/gldPl19,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/d/5/x/free-3-4-sleeve-embellished-floral-print-self-design-semi-original-imahdytmkagvuh5p.jpeg?q=70,799,2999,73%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/gctqVW0,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/l/1/w/free-sleeveless-party-wear-georgette-lehenga-lehenga-choli-original-imahddrn9cqkhrbk.jpeg?q=70,998,3899,74%
Printed Semi Stitched Lehenga Choli,https://fkrt.cc/gV6hulV,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/n/9/m/free-3-4-sleeve-women-s-wedding-special-floral-lehenga-choli-original-imahc7mdtjjd3yzh.jpeg?q=70,830,2999,72%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/gx5lOYx,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/0/f/5/free-half-sleeve-pure-viscose-velvet-lehenga-choli-pd-cloth-original-imagggtb8k7fqhpx.jpeg?q=70,1369,3099,55%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/g9FlnKj,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/k/d/e/free-full-sleeve-lehenga-lehenga-for-women-wedding-party-lehenga-original-imah42fhyfudauqc.jpeg?q=70,500,3899,87%
Embroidered Semi Stitched Lehenga Choli,https://fkrt.cc/g64lboa,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/1/z/s/free-full-sleeve-lc347-tasrika-original-imahbr47nn9jds6b.jpeg?q=70,2499,8999,72%
Embroidered Embellished Semi Stitched Lehenga Choli,https://fkrt.cc/g8wwxpA,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/r/l/x/free-3-4-sleeve-barbie-lehenga-legcayethnic-original-imah9rpeemhr67nm.jpeg?q=70,1178,5999,80%
Printed Semi Stitched Lehenga Choli,https://fkrt.cc/g2EH5py,https://rukminim2.flixcart.com/image/612/612/xif0q/lehenga-choli/d/m/c/free-3-4-sleeve-embellished-floral-print-self-design-semi-original-imahdytmtvyhmpp3.jpeg?q=70,799,2999,73%
Embellished Semi Stitched Lehenga Choli,https://fkrt.cc/gzUXTJd,https://rukminim2.flixcart.com/image/612/612/kzfvzww0/lehenga-choli/t/e/o/free-3-4-sleeve-dfgfuybn45-mor-for-fab-original-imagbgazpa3gghkc.jpeg?q=70,313,1999,84%
