product name,url,image url,price,mrp,discount
Pack of 3 Solid Women Multicolor Hotpants,https://www.flipkart.com/powermerc-solid-women-multicolor-hotpants/p/itm138eb0d0d3eba?pid=SRTGBMSSJWBHJDZG&lid=LSTSRTGBMSSJWBHJDZG3BNHHE&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_1&otracker=browse&fm=organic&iid=en_pBV-fFXaDcagqYBCPicfOf5rXICwa3-wC9bFe5yi4foZ0xhDwLjxGuRZfDClhPmjKFS-nar_IfWiY0K_v_kY4w%3D%3D&ppt=None&ppn=None&ssid=1qwvt3bc4g0000001753569561277,https://rukminim2.flixcart.com/image/612/612/xif0q/short/l/4/m/28-combo-of-3-shorts-powermerc-original-imah5cxzdpvyhb4j.jpeg?q=70,320,1299,75%
Pack of 2 Solid Women Multicolor Basic Shorts,https://www.flipkart.com/tusi-solid-women-multicolor-basic-shorts/p/itm29a3c1858aa71?pid=SRTGHSHD7WXYFAXB&lid=LSTSRTGHSHD7WXYFAXB5KOW1C&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_2&otracker=browse&fm=organic&iid=en_pBV-fFXaDcagqYBCPicfOf5rXICwa3-wC9bFe5yi4fo8KEmwOlrO70TfnXXCCYiki_0Na5WaWdVEr7gx3poGkA%3D%3D&ppt=None&ppn=None&ssid=1qwvt3bc4g0000001753569561277,https://rukminim2.flixcart.com/image/612/612/xif0q/short/4/7/q/xl-tusi-maroon-black-short-tusi-original-imaggyks5jdyyqay.jpeg?q=70,277,999,72%
Solid Women Black Compression Shorts,https://www.flipkart.com/flingr-solid-women-black-compression-shorts/p/itm16ae6adc6ba35?pid=SRTGF23TYFBHD8Y5&lid=LSTSRTGF23TYFBHD8Y5PTXWYN&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_3&otracker=browse&fm=organic&iid=d252b3aa-5440-437b-9519-839a8ab8e167.SRTGF23TYFBHD8Y5.SEARCH&ppt=None&ppn=None&ssid=1qwvt3bc4g0000001753569561277,https://rukminim2.flixcart.com/image/612/612/xif0q/short/i/m/j/xl-fling-sh-07-flingr-original-imahdbv8btdkmxhs.jpeg?q=70,260,599,56%
Solid Women Black Regular Shorts,https://www.flipkart.com/rareism-solid-women-black-regular-shorts/p/itmb81bb68b9eee1?pid=SRTHC5D6SHEDYDE3&lid=LSTSRTHC5D6SHEDYDE3XZRVDZ&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_4&otracker=browse&fm=organic&iid=d252b3aa-5440-437b-9519-839a8ab8e167.SRTHC5D6SHEDYDE3.SEARCH&ppt=None&ppn=None&ssid=1qwvt3bc4g0000001753569561277,https://rukminim2.flixcart.com/image/612/612/xif0q/short/b/r/p/30-maslin-primary-black-rareism-original-imahc5d2rnvyjvhu.jpeg?q=70,1324,2499,47%
Pack of 2 Printed Women Multicolor Regular Shorts,https://www.flipkart.com/spohna-printed-women-multicolor-regular-shorts/p/itme22fa4e491731?pid=SRTGZG2ZCVVTK8HG&lid=LSTSRTGZG2ZCVVTK8HGYNPBPK&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_5&otracker=browse&fm=organic&iid=en_pBV-fFXaDcagqYBCPicfOf5rXICwa3-wC9bFe5yi4fqBFv-EC7n1VAfkeGP35dTvdgzBJUkhnTQ14TmgjVNEyw%3D%3D&ppt=None&ppn=None&ssid=1qwvt3bc4g0000001753569561277,https://rukminim2.flixcart.com/image/612/612/xif0q/short/7/n/1/s-boxer-1-spohna-original-imahffmk6sq7pmbz.jpeg?q=70,493,1499,67%
Pack of 2 Solid Women Multicolor Basic Shorts,https://www.flipkart.com/tusi-solid-women-multicolor-basic-shorts/p/itm2315a26384df1?pid=SRTGHSHDBYA6VBHQ&lid=LSTSRTGHSHDBYA6VBHQYV1HG4&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_6&otracker=browse&fm=organic&iid=en_pBV-fFXaDcagqYBCPicfOf5rXICwa3-wC9bFe5yi4foKInVG8_xUev9Lpo1YSmKfHqJWW4dIAgC8kq3dQqqRMQ%3D%3D&ppt=None&ppn=None&ssid=1qwvt3bc4g0000001753569561277,https://rukminim2.flixcart.com/image/612/612/xif0q/short/c/8/j/s-tusi-short-black-yellow-tusi-original-imaggyksausfy3gv.jpeg?q=70,255,999,74%
Solid Women Red Regular Shorts,https://www.flipkart.com/pxs-solid-women-red-regular-shorts/p/itm94a7bf447e3e5?pid=SRTHDWR22UMG8WDT&lid=LSTSRTHDWR22UMG8WDTLF2HWQ&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_7&otracker=browse&fm=organic&iid=d252b3aa-5440-437b-9519-839a8ab8e167.SRTHDWR22UMG8WDT.SEARCH&ppt=None&ppn=None&ssid=1qwvt3bc4g0000001753569561277,https://rukminim2.flixcart.com/image/612/612/xif0q/short/x/d/1/l-shorts-pxs-original-imahdwr2dtejjwzh.jpeg?q=70,181,999,81%
Solid Women Pink Regular Shorts,https://www.flipkart.com/ulboholic-solid-women-pink-regular-shorts/p/itmfe04ba7b5ec0c?pid=SRTHEF3RY3BZBR4P&lid=LSTSRTHEF3RY3BZBR4PBD5OR4&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_8&otracker=browse&fm=organic&iid=d252b3aa-5440-437b-9519-839a8ab8e167.SRTHEF3RY3BZBR4P.SEARCH&ppt=None&ppn=None&ssid=1qwvt3bc4g0000001753569561277,https://rukminim2.flixcart.com/image/612/612/xif0q/short/f/x/g/l-wmshorts51-ulboholic-original-imahef3qya8tp3ya.jpeg?q=70,293,699,58%
Solid Women Black Gym Shorts High Waist Shorts Running Shorts Sports Shorts Swim Shorts,https://www.flipkart.com/shoppy-villa-solid-women-black-gym-shorts-high-waist-running-sports-swim-shorts/p/itmf039a639b19d7?pid=SRTGU6Q4XJMVJBPY&lid=LSTSRTGU6Q4XJMVJBPYIUUQZA&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&spotlightTagId=default_BestsellerId_clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_9&otracker=browse&fm=organic&iid=d252b3aa-5440-437b-9519-839a8ab8e167.SRTGU6Q4XJMVJBPY.SEARCH&ppt=None&ppn=None&ssid=1qwvt3bc4g0000001753569561277,https://rukminim2.flixcart.com/image/612/612/xif0q/short/8/6/0/free-818-shoppy-villa-original-imagu6q3yjjanrm6.jpeg?q=70,297,999,70%
Pack of 2 Solid Women Black Cycling Shorts,https://www.flipkart.com/harshraj-solid-women-black-cycling-shorts/p/itme321654b38185?pid=SRTGE3JFHFZVQFE6&lid=LSTSRTGE3JFHFZVQFE6UVPHEL&marketplace=FLIPKART&store=clo%2Fvua%2Fe8g%2Fhbd&srno=b_1_10&otracker=browse&fm=organic&iid=d252b3aa-5440-437b-9519-839a8ab8e167.SRTGE3JFHFZVQFE6.SEARCH&ppt=None&ppn=None&ssid=1qwvt3bc4g0000001753569561277,https://rukminim2.flixcart.com/image/612/612/xif0q/short/b/q/r/m-649-01-harshraj-original-imahd3mgzgek8q3m.jpeg?q=70,235,799,70%
