product name,url,image url,price,mrp,discount,brand
Ready to Wear Lehenga & Blouse,https://myntr.it/OjlEaDd,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12411364/2020/9/28/0a74af73-d45c-4ba9-b0cd-286821c082a91601273293762-Juniper-Ivory-Net-Embellished-Flared-Lehenga-Choli-546160127-1.jpg",2317,4798,51%,Myntra
Ready to Wear Lehenga & Blouse,https://myntr.it/zazOqPl,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/10/10/051a6367-c939-4014-b6eb-49187684b5a21570688691889-1.jpg",1717,4294,60%,Myntra
Ready to Wear Lehenga Unstitched Blouse With Dupatta,https://myntr.it/APh2v2m,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16538646/2021/12/16/5eb05929-8d75-43a4-ab66-9cca4a7d5cab1639667760890PURVAJAWomenPink1.jpg",1248,6999,82%,Myntra
Ready to Wear Lehenga Unstitched Blouse With Dupatta,https://myntr.it/xNi5RYZ,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13922390/2021/6/21/23d678b2-4cb2-4bb9-914c-6f1bb63ed1c31624258425556-DIVASTRI-Women-Lehenga-Choli-1171624258424524-1.jpg",1499,5999,4500,Myntra
Semi-Stitched Lehenga Unstitched Blouse With Dupatta,https://myntr.it/1CCRa1U,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21307536/2023/1/19/a942e926-ca91-4caa-a398-477ba2bd64101674128192637-Fabcartz-Zari-Woven-Design-Semi-Stitched-Lehenga--Unstitched-1.jpg",1999,5999,4000,Myntra
Semi-Stitched Lehenga Unstitched Blouse With Dupatta,https://myntr.it/SWogO4Z,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16389434/2021/12/24/71f8d6d8-2ab5-4e0a-b75c-001157262a5a1640353311186SHOPGARBBrownPinkPrintedSemi-StitchedLehengaUnstitchedBlouse1.jpg",1499,9000,7501,Myntra
Ready to Wear Lehenga & Blouse,https://myntr.it/8Zetke4,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11883814/2020/5/27/cc1c8ab3-0977-4f83-841a-b034d324d48f1590580307772Sera1.jpg",1482,3294,55%,Myntra
Semi-Stitched Lehenga Unstitched Blouse With Dupatta,https://myntr.it/I5UPeca,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16471656/2021/12/12/df080a80-c648-4a2d-a378-d06161d896991639303186223MiteraWomenBlack1.jpg",1519,7999,81%,Myntra
Ready to Wear Lehenga Choli,https://myntr.it/meh1xDM,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17370190/2022/3/4/ccca8a15-79c5-43a9-8f3f-b25a843ff6081646332861295DIVASTRIWomenRedLehengaCholi1.jpg",1499,5999,4500,Myntra
Ready to Wear Lehenga Unstitched Blouse With Dupatta,https://myntr.it/s88ov3o,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18245094/2022/5/26/374ead7c-3e74-4529-b4b8-6c468dac4ed51653561702163KesaryaOrangePinkEmbellishedReadytoWearLehengaUnstitchedBlou1.jpg",2812,7999,64%,Myntra
Semi-Stitched Lehenga Unstitched Blouse With Dupatta,https://myntr.it/mpROeBL,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23068420/2023/5/6/eefe906a-1b8c-4de1-becd-394f14b2df141683390969751RedEmbellishedSemi-StitchedLehengaUnstitchedBlouseWithDupatt1.jpg",1800,8999,79%,Myntra
